Table 1,,,,,,,,
Time,SITE,City,Province,Region,4G_PRB_Util_Rate_PDSCH_Avg_IR(#),4G_PAYLOAD_TOTAL_MBYTE_IR(MB),4G_CELL_AVAIL_IR(%),4G_Users_RRC_Connected_Avg_IR
4/29/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,29.96,"3,465,743.77",100,250.88
5/6/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,34.14,"5,730,800.24",100,284.99
5/13/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,35.65,"5,853,275.79",99.95,289.89
5/20/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,34.8,"5,726,977.31",99.99,293.71
5/27/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.61,"5,848,226.10",100,285.82
6/3/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,31.43,"5,693,697.06",100,274.83
6/10/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,28.61,"5,217,400.31",100,263.39
6/17/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,29.9,"5,421,006.77",100,264.31
6/24/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,29.28,"5,215,192.17",99.94,267.47
7/1/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,30.12,"5,240,792.60",99.91,264.63
7/8/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,31.87,"5,634,332.06",100,266.63
7/15/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,32.14,"5,616,546.59",100,272.02
7/22/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,34.4,"5,912,492.03",100,278.51
7/29/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,36.88,"6,099,686.55",100,288.71
8/5/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,38.12,"6,184,037.35",100,286.8
8/12/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,36.16,"6,108,014.48",100,280.23
8/19/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,36.3,"6,087,003.53",100,278.14
8/26/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,37.2,"6,160,073",100,275.7
9/2/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,35.55,"6,116,929.48",100,279.63
9/9/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,38.87,"6,789,696.65",100,299.36
9/16/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,39.07,"6,758,367.67",100,291.02
9/23/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,38.7,"6,716,898.87",100,296.94
9/30/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,38.33,"6,691,943.51",100,298.62
10/7/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,39.54,"6,767,086.27",100,296.8
10/14/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,40.02,"6,808,126.36",100,299.79
10/21/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,41.35,"7,052,284.80",100,318.35
10/28/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,43.74,"7,610,792.36",100,322.5
11/4/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,41.75,"7,351,350.05",100,319.43
11/11/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.65,"5,235,151.42",87.38,261.97
11/18/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,16.93,"3,161,721.96",100,234.31
11/25/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.7,"5,013,872.37",100,224.64
12/2/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,34.6,"6,424,184.96",99.83,255.57
12/9/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,36.87,"6,747,527.73",100,259.02
12/16/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,32.4,"6,229,618.85",100,248.83
12/23/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,29.43,"5,743,119.08",100,246.65
12/30/2019,T6828X,MASHHAD,KHORASAN RAZAVI,R3,31.45,"6,083,026.51",100,261.83
1/6/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.73,"6,675,700.85",99.85,280.6
1/13/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,34.45,"6,949,437.55",99.99,278.77
1/20/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.08,"6,726,947.32",97.63,280.24
1/27/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.94,"6,422,390.13",91.74,264.89
2/3/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.19,"6,662,366.92",99.5,262.83
2/10/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.02,"5,885,638.74",99.86,267.97
2/17/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.77,"6,506,899.98",100,262.35
2/24/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,30.28,"7,017,831.41",99.99,284.72
3/2/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,35.3,"8,213,888.48",99.99,304.35
3/9/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,32.52,"7,937,403.76",99.99,303.13
3/16/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.42,"9,562,531.85",100,348.06
3/23/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,35.05,"10,315,897.23",100,360.59
3/30/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,35.4,"10,318,993.89",99.97,359.78
4/6/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,33.78,"10,542,294.06",99.98,371.72
4/13/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.64,"9,808,486.01",100,354.57
4/20/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,25.58,"9,029,666.47",100,344.54
4/27/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,28.82,"9,962,560.38",100,358.71
5/4/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.32,"9,463,865.34",100,353.95
5/11/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.29,"9,484,408.94",100,355.29
5/18/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,27.84,"9,695,113.62",100,347.96
5/25/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,22.96,"8,151,800.13",100,318.64
6/1/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,23.1,"8,189,767.92",100,322.99
6/8/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,22.98,"8,116,839.31",100,319.38
6/15/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,23.5,"8,223,686.62",100,319.32
6/22/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,21.52,"7,846,883.43",100,295.19
6/29/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,22.82,"8,249,747.41",100,309.28
7/6/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,24.45,"8,722,714.87",100,317.45
7/13/2020,T6828X,MASHHAD,KHORASAN RAZAVI,R3,22.81,"8,215,511.95",100,298.38
